timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt,gps_accuracy,gps_speed,gps_course,pressure,altitude,roll,pitch,yaw
275981.385713,8.36790057,2.05043715,1.4756300100000002,0.158147,0.252898,0.182113,-16.869507,122.865753,-138.066208,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.70012,-0.218422,-1.395257
275981.405696,8.2598238,1.89565497,1.5760746,0.134773,0.317838,0.219953,-16.787521,122.756104,-138.024017,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.70364,-0.215804,-1.398924
275981.425679,8.25788142,1.9091339100000002,1.65361284,0.104213,0.390153,0.256724,-16.433777,122.847122,-137.587173,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.708512,-0.212311,-1.402423
275981.445662,8.394397380000001,1.93113774,1.6521119100000001,0.08526,0.498426,0.307462,-16.407974,122.398239,-137.299698,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.714832,-0.208071,-1.405474
275981.445662,8.394397380000001,1.93113774,1.6521119100000001,0.08526,0.498426,0.307462,-16.407974,122.398239,-137.299698,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.714832,-0.208071,-1.405474
275981.485629,8.58853728,1.5447905100000001,1.7670753000000001,0.027483,0.703516,0.356649,-16.781418,122.061249,-135.960327,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.733444,-0.196779,-1.410652
275981.505612,8.538692670000001,1.3232512800000003,1.88757153,-0.01527,0.780865,0.32778,-16.700394,121.996094,-135.558853,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.746064,-0.189976,-1.41275
275981.545578,8.399184660000001,1.14272766,2.0332206,-0.089589,0.913964,0.206632,-17.164413,121.496017,-134.110397,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.77656,-0.177236,-1.413185
275981.545578,8.399184660000001,1.14272766,2.0332206,-0.089589,0.913964,0.206632,-17.164413,121.496017,-134.110397,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.77656,-0.177236,-1.413185
275981.585544,8.49887388,1.04587353,2.50788726,-0.169593,1.023085,0.061371,-17.316971,121.317947,-133.504013,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.81321,-0.168352,-1.408529
275981.605527,8.57656908,1.14496434,2.73930516,-0.216334,1.065749,0.010126,-17.783234,121.308411,-132.522125,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.833538,-0.165732,-1.40535
275981.625511,8.57701053,1.1557455300000001,2.90021859,-0.259506,1.101039,-0.014222,-17.691315,121.466202,-131.69133,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.854979,-0.164056,-1.400691
275981.645494,8.45037324,1.12715919,3.1145769000000003,-0.307504,1.138803,-0.024646,-18.212387,121.465179,-130.976196,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.877415,-0.162796,-1.395375
275981.645494,8.45037324,1.12715919,3.1145769000000003,-0.307504,1.138803,-0.024646,-18.212387,121.465179,-130.976196,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.877415,-0.162796,-1.395375
275981.665477,8.67805353,1.42054686,3.3958394100000002,-0.303415,1.166738,0.03788,-23.807648,118.499908,-124.423386,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.900798,-0.161461,-1.389749
275981.665477,8.67805353,1.42054686,3.3958394100000002,-0.303415,1.166738,0.03788,-23.807648,118.499908,-124.423386,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.900798,-0.161461,-1.389749
275981.665477,8.67805353,1.42054686,3.3958394100000002,-0.303415,1.166738,0.03788,-23.807648,118.499908,-124.423386,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.900798,-0.161461,-1.389749
275981.665477,8.67805353,1.42054686,3.3958394100000002,-0.303415,1.166738,0.03788,-23.807648,118.499908,-124.423386,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.900798,-0.161461,-1.389749
275981.665477,8.67805353,1.42054686,3.3958394100000002,-0.303415,1.166738,0.03788,-23.807648,118.499908,-124.423386,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.900798,-0.161461,-1.389749
275981.665477,8.67805353,1.42054686,3.3958394100000002,-0.303415,1.166738,0.03788,-23.807648,118.499908,-124.423386,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.900798,-0.161461,-1.389749
275981.705443,8.18946648,1.60376823,3.7082388600000002,-0.293279,1.238357,0.076795,-20.190414,120.725052,-127.441895,60.187935,24.830318,18.833735,13.84716,0.295854,-1.0,102.065491,-0.993511,1.949928,-0.156326,-1.371836
