timestamp,time_rel,x,y,theta,vx,vy,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,2.8282556584899545,0.0,0.0,-9.48172797,0.05627997,-2.8759682700000004,0.003198,-0.016351,0.005153
0.05995599995367229,0.05995599995367229,0.0,0.0,2.734815437380788,0.0,0.0,-9.458380170000002,0.04281084,-2.8163921400000005,0.002189,0.001104,0.006369
0.11991299991495907,0.11991299991495907,0.0,0.0,2.6571144548291876,0.0,0.0,-9.44700057,0.00958437,-2.7981357300000003,-0.000334,0.005118,0.005986
0.13989899994339794,0.13989899994339794,0.0,0.0,2.592477199725545,0.0,0.0,-9.40164894,-0.0056898,-2.80651347,0.004639,-0.003047,0.002661
0.1598839999642223,0.1598839999642223,0.0,0.0,2.5386872742122506,0.0,0.0,-9.43008813,0.01886463,-2.81055519,0.007557,-0.001666,0.006634
0.17986999999266118,0.17986999999266118,0.0,0.0,2.4934491963327687,0.0,0.0,-9.43487541,-0.00164808,-2.78929692,-0.000322,0.004304,0.004885
0.19985500001348555,0.19985500001348555,0.0,0.0,2.493468068947763,0.0,0.0,-9.41602059,0.00628821,-2.8240243200000004,0.005744,-0.006368,0.00154
0.2198409999255091,0.2198409999255091,0.0,0.0,2.4935708411256456,0.0,0.0,-9.43548363,0.02484873,-2.80127493,0.002367,0.003573,0.005002
0.23982599994633347,0.23982599994633347,0.0,0.0,2.4936195012610973,0.0,0.0,-9.42125913,-0.01257642,-2.78690328,-0.000531,0.000854,0.002605
0.25981199997477233,0.25981199997477233,0.0,0.0,2.4937126891075767,0.0,0.0,-9.41212602,-0.00014715,-2.8196883,0.007558,-0.006789,0.004614
0.2797980000032112,0.2797980000032112,0.0,0.0,2.4938281579235433,0.0,0.0,-9.44476389,0.01182105,-2.81325294,0.00163,0.006411,0.005702
0.2997830000240356,0.2997830000240356,0.0,0.0,2.493883782896308,0.0,0.0,-9.41931675,0.01047708,-2.78884566,0.005746,-0.003473,0.002816
0.3197689999360591,0.3197689999360591,0.0,0.0,2.493969069842631,0.0,0.0,-9.42425118,0.02634966,-2.82641796,0.003625,-0.003644,0.004267
0.3197689999360591,0.3197689999360591,0.0,0.0,2.493971867227083,0.0,0.0,-9.42425118,0.02634966,-2.82641796,0.003625,-0.003644,0.004267
0.35973999998532236,0.35973999998532236,0.0,0.0,2.4941110720611466,0.0,0.0,-9.41033079,0.00373761,-2.80785744,0.00574,-0.008894,0.002794
0.3797260000137612,0.3797260000137612,0.0,0.0,2.4941828947046627,0.0,0.0,-9.43668045,0.01107549,-2.81265453,0.002268,0.003046,0.003577
0.41969699994660914,0.41969699994660914,0.0,0.0,2.4943030725257938,0.0,0.0,-9.41915979,0.00703377,-2.80785744,0.006837,-0.005858,0.002197
0.4396819999674335,0.4396819999674335,0.0,0.0,2.494401480016718,0.0,0.0,-9.42470244,0.00928026,-2.8163921400000005,-0.001455,0.003863,0.004898
0.4596679999958724,0.4596679999958724,0.0,0.0,2.494493943695952,0.0,0.0,-9.42994098,0.00942741,-2.7906507,0.007483,-0.002303,0.004626
0.47965300001669675,0.47965300001669675,0.0,0.0,2.494551714871215,0.0,0.0,-9.4223088,-0.008829,-2.80756314,0.004528,-0.003343,0.002873
0.4996389999287203,0.4996389999287203,0.0,0.0,2.49461534455119,0.0,0.0,-9.41871834,0.00748503,-2.7981357300000003,1.4e-05,0.005749,0.003164
0.5196249999571592,0.5196249999571592,0.0,0.0,2.49467077211402,0.0,0.0,-9.42694893,0.02095416,-2.79244593,0.009523,-0.007294,0.00273
0.5396099999779835,0.5396099999779835,0.0,0.0,2.494764665121762,0.0,0.0,-9.44221329,0.01002582,-2.8291157100000004,0.001017,0.004391,0.004765
0.5595960000064224,0.5595960000064224,0.0,0.0,2.4948527695505405,0.0,0.0,-9.43383555,0.0056898,-2.79993096,0.002375,0.000676,0.004456
0.5795810000272468,0.5795810000272468,0.0,0.0,2.4949116757320215,0.0,0.0,-9.4194639,-0.00179523,-2.80142208,0.008434,-0.005318,0.002877
0.5995669999392703,0.5995669999392703,0.0,0.0,2.4950127512786775,0.0,0.0,-9.42200469,0.00942741,-2.8101039300000004,-0.001418,0.003711,0.005178
0.6195529999677092,0.6195529999677092,0.0,0.0,2.495093097332065,0.0,0.0,-9.41856138,0.01122264,-2.79513387,0.007445,-0.003167,0.004032
0.6195529999677092,0.6195529999677092,0.0,0.0,2.495094977733878,0.0,0.0,-9.41856138,0.01122264,-2.79513387,0.007445,-0.003167,0.004032
0.6595250000245869,0.6595250000245869,0.0,0.0,2.4952553088048868,0.0,0.0,-9.42963687,0.0173637,-2.80606221,0.000848,0.005533,0.004112
0.679509999928996,0.679509999928996,0.0,0.0,2.4953278205242055,0.0,0.0,-9.43308018,0.00373761,-2.8051695,0.008352,-0.006567,0.00359
0.6994959999574348,0.6994959999574348,0.0,0.0,2.495386124474763,0.0,0.0,-9.4311378,-0.00777933,-2.8062191700000003,0.000797,0.004659,0.002797
0.7194809999782592,0.7194809999782592,0.0,0.0,2.4954630177969985,0.0,0.0,-9.42754734,-0.00194238,-2.8116048600000005,0.002357,-0.001021,0.003859
0.7394670000066981,0.7394670000066981,0.0,0.0,2.4955347165938875,0.0,0.0,-9.42919542,0.00643536,-2.8168434,0.006494,-0.005289,0.003564
0.7594520000275224,0.7594520000275224,0.0,0.0,2.495611939457209,0.0,0.0,-9.42994098,0.00973152,-2.8009708200000003,-0.002327,0.005163,0.00388
