timestamp,x,y,theta,vx,vy,bias_accel_x,bias_accel_y,bias_angular_velocity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,cov_trace
1757932192.0997894,0.0,0.0,0.0,0.0,0.0,-3.370277433017751,0.1774736581065089,0.016892625246548325,0.14429529,0.26121087000000004,9.77512545,0.003651,-0.003068,0.003118,3.13
1757932192.1230385,-0.001664454542026117,0.0008095881822122815,-0.11181588241799512,-0.3862090360633743,0.18785149342672675,-3.370277433017751,0.1774736581065089,0.0008043115590802771,0.14610033,0.28096821,9.747726120000001,0.001999,0.000897,0.002739,0.9676357964427091
1757932192.1436372,-0.006120686826319986,0.0005853794888591773,0.9190204561903794,-0.4508964560101745,0.04741015508421964,-3.370277433017751,0.1774736581065089,0.0004111907491684695,0.1474443,0.26644941,9.77601816,0.005092,-0.001617,0.004295,0.5869458799970301
1757932192.1650414,-0.005777358246741769,0.0006426155017588947,1.1128487782868266,-0.24634929199035033,0.031227748493430893,-3.370277433017751,0.1774736581065089,0.00027550083676692097,0.15118191,0.26704782,9.79457868,0.003798,-8.3e-05,0.002767,0.40952461843760724
1757932192.1869435,-0.00895634186802771,0.0028316446957344183,1.251391946695203,-0.2655209188509279,0.09384168239029561,-3.370277433017751,0.1774736581065089,0.00020651367697761277,0.15297714,0.26944146,9.76120506,0.002924,0.000842,0.002976,0.33269032187910147
1757932192.2079637,-0.012574884068781237,0.006239913320470185,1.355583422347074,-0.2856630722293636,0.15618463460204818,-3.370277433017751,0.1774736581065089,0.00016461195235205524,0.15552774,0.27333603,9.76434426,0.004508,-0.001396,0.004729,0.283069114703541
1757932192.228389,-0.016412078811064403,0.010600160583333688,1.4375128299676678,-0.30569130990530624,0.2155190792597192,-3.370277433017751,0.1774736581065089,0.00013638697133628246,0.16256151,0.25940583,9.802966230000001,0.001182,0.001205,0.003383,0.24830146590860488
1757932192.2524557,-0.023641126453602904,0.0204760820686436,1.559274389276851,-0.3431456415926403,0.3216483788012817,-3.370277433017751,0.1774736581065089,0.00010063333819586576,0.15806852999999998,0.27677934,9.77018121,0.003414,-0.000481,0.005638,0.20221927113840832
1757932192.2738996,-0.021290679647604498,0.027357567141439425,1.6378444871606748,-0.25426365064628176,0.37135154774864754,-3.370277433017751,0.1774736581065089,8.856120795840922e-05,0.14295132,0.26869590000000004,9.78919299,0.002817,-0.001047,0.003661,0.17918952356205672
1757932192.2946906,-0.025599134536103303,0.03439345968548185,1.6762468252350704,-0.27844562738021844,0.41315824364370485,-3.370277433017751,0.1774736581065089,7.87883415332941e-05,0.14115609,0.27018702,9.78919299,0.004241,-0.001541,0.004593,0.16815059224311504
1757932192.3184521,-0.026965678947597445,0.04426295383782743,1.7291904342927626,-0.24510535263116798,0.46083881474759564,-3.370277433017751,0.1774736581065089,7.064667285622121e-05,0.15328125,0.26913735,9.76913154,0.002321,0.002403,0.003789,0.15516656403294266
1757932192.3386142,-0.027527369301724534,0.05022753463493389,1.7701802591077236,-0.2365325894877355,0.5022890647142418,-3.370277433017751,0.1774736581065089,6.385781240756164e-05,0.17214588000000003,0.27243351000000005,9.76149936,0.003649,-0.000368,0.003985,0.144245766036731
1757932192.35942,-0.030066975563329053,0.058674241948676736,1.8039028752365471,-0.2382027842862697,0.5393452891574915,-3.370277433017751,0.1774736581065089,5.8050446653598576e-05,0.15418377,0.26599815,9.784405710000001,0.00286,0.000664,0.005162,0.13637924200338655
1757932192.3800375,-0.033291163613306855,0.06766482798844561,1.8324530311080744,-0.24524500896400978,0.5725580771253197,-3.370277433017751,0.1774736581065089,5.3013415374706e-05,0.14325543000000002,0.27138384000000004,9.7695828,0.001951,0.001229,0.004489,0.1299966653967262
1757932192.40095,-0.03708923750657382,0.07721651927898386,1.8570567339169584,-0.2553264270742792,0.6023915472322737,-3.370277433017751,0.1774736581065089,4.8592498284715e-05,0.14579622,0.27662238,9.78515127,0.005411,-0.002006,0.005887,0.12471011556709445
1757932192.4210052,-0.040757515785038174,0.08581519813147737,1.8784998523553806,-0.2671244016250824,0.6289186501392869,-3.370277433017751,0.1774736581065089,4.46939217615431e-05,0.15717582000000002,0.26375166,9.78529842,0.00285,0.001478,0.005385,0.11986629786605875
1757932192.4420323,-0.045434571330075245,0.09622373938454765,1.897394102521119,-0.27984864149722355,0.652846684297218,-3.370277433017751,0.1774736581065089,4.1206747077647885e-05,0.13816404,0.25851312000000004,9.76508982,0.003801,-0.002162,0.003007,0.11610888625146862
1757932192.4628842,-0.0492004261220956,0.10403517974766285,1.9141291230486122,-0.2928798450878972,0.6739554905797037,-3.370277433017751,0.1774736581065089,3.809882131658347e-05,0.14309847,0.27273762,9.77032836,0.003238,0.000957,0.00523,0.11210420859012514
1757932192.483158,-0.05383374592754937,0.11344474755461123,1.929069478656749,-0.3059102228669431,0.6928522536153225,-3.370277433017751,0.1774736581065089,3.529472565906786e-05,0.15402681000000001,0.26509562999999997,9.79248915,0.001362,0.000177,0.004823,0.10897641018351245
1757932192.5037584,-0.058849066199106986,0.12334194818516506,1.9424866733837662,-0.31872987446922063,0.7098090506031407,-3.370277433017751,0.1774736581065089,3.2748203766537964e-05,0.15701886,0.27018702,9.77407578,0.00372,-0.002839,0.003029,0.10627305127304625
1757932192.5242758,-0.06419985751858326,0.133637396230092,1.9545987284412352,-0.331191511980718,0.7250376084913933,-3.370277433017751,0.1774736581065089,3.0423219241310795e-05,0.14833701000000002,0.2806641,9.77257485,0.001978,0.001153,0.00584,0.10390223682803035
