timestamp,time_rel,x,y,theta,vx,vy,bias_accel_x,bias_accel_y,bias_angular_velocity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
880268.636192,8.43404299998656,-2.1752644688377614,-0.6947893340677507,2.3075799546590963,-0.013385635356957222,0.011893426537849482,-0.08955814372755733,-0.19647637374513838,0.004199582276066622,0.07963758,0.32287653,9.79952292,0.004054,0.000734,0.00605
880268.676164,8.474014999927022,-2.176948051620764,-0.6889810684871075,2.3078535221073215,-0.013619039904100714,0.011203739161850764,-0.08932189127671251,-0.1964135433044777,0.004158695230755475,0.06526593,0.32841918,9.7724277,0.004746,0.000315,0.001381
880268.69615,8.49400099995546,-2.1784706649819547,-0.6836802105254872,2.308198798496889,-0.013419032503630614,0.011893135792008838,-0.08905906935297345,-0.1964127757244048,0.004169302942793058,0.0928026,0.32318064,9.8040159,-0.000365,-7.7e-05,0.004908
880268.716136,8.5139869999839,-2.1800101710536284,-0.6784266305343192,2.30854298714707,-0.013175168253209765,0.01187670602223783,-0.08879740697931639,-0.19641947638391297,0.004202455764708269,0.06211692,0.34024023,9.74398851,0.00529,0.003533,0.006483
880268.716136,8.5139869999839,-2.181358486929263,-0.6735762518055782,2.3088347836536,-0.01228757323290639,0.01362304880467329,-0.08851448149514024,-0.19648431832161456,0.004234695430924725,0.06211692,0.34024023,9.74398851,0.00529,0.003533,0.006483
880268.756108,8.553958999924362,-2.1830122053048893,-0.6679038180788144,2.3091822159303916,-0.013652542540013673,0.011366818045575051,-0.08826914716622399,-0.1964382881985007,0.004237063266871211,0.07888221,0.31689243,9.81045126,0.001492,0.000986,0.004413
880268.776094,8.5739449999528,-2.184524238506949,-0.662719620023352,2.309489150324712,-0.013227201931408614,0.011885484142610564,-0.08800827505016091,-0.19644208747273903,0.004226765014523662,0.06526593,0.33021441,9.76300029,0.004246,0.000308,0.003534
880268.79608,8.59393099998124,-2.186031484914961,-0.6575734719507537,2.3098018753561966,-0.013250492858240367,0.011852625346516923,-0.08774645813322056,-0.1964491644991437,0.004240749321155887,0.08248248,0.33574725,9.75880161,0.003189,0.001716,0.005211
880268.816066,8.613917000009678,-2.1875330065272114,-0.6524683647503764,2.3101121266223092,-0.013327220524851241,0.012036991329011058,-0.08748219395768213,-0.19645790135009383,0.004249520585035509,0.08412075,0.30476727,9.78455286,0.0038,0.001085,0.004863
880268.836052,8.633903000038117,-2.189033898355369,-0.6473863214460078,2.310384767272163,-0.01322368502857119,0.011988115644179584,-0.08722021340373956,-0.196467350629898,0.00422338249986385,0.07035732,0.32272938,9.76778757,0.001639,-0.000375,0.002441
880268.836052,8.633903000038117,-2.190340993307074,-0.6426924120316485,2.3106821708554888,-0.01232104835597895,0.013681834272294607,-0.08693895335362169,-0.19653362896231696,0.004197973791867653,0.07035732,0.32272938,9.76778757,0.001639,-0.000375,0.002441
880268.876024,8.67387499997858,-2.191959133641952,-0.6371710553582088,2.3109641676088923,-0.013592774801475681,0.011325381233542191,-0.08669680473175667,-0.19648930809732748,0.004199960640159394,0.0754389,0.32033574,9.80236782,0.00244,-0.001241,0.004347
880268.89601,8.693861000007018,-2.1934289525758746,-0.6321370624312733,2.3112585560189265,-0.01320898798111239,0.011832394278544024,-0.08643873721456663,-0.19649406839792105,0.004209760455806851,0.06825798,0.3324609,9.77587101,0.002948,0.001078,0.004894
880268.915996,8.713847000035457,-2.1948957261692885,-0.6271408009695264,2.3115302303504155,-0.01320511854091355,0.0118272012062441,-0.08617967765959132,-0.1965026311004714,0.004216875885032262,0.07903917,0.33500169,9.77422293,0.004703,0.002369,0.004716
880268.935982,8.73383299994748,-2.1963583968021942,-0.6221798484304293,2.3118102874528574,-0.013228192391874461,0.011908017414804984,-0.08591996372996398,-0.19651239150815886,0.0042174831945682115,0.0782838,0.32003163,9.81898596,0.00251,-0.000136,0.00427
880268.955968,8.75381899997592,-2.1978179677554035,-0.6172437333468657,2.3120650009299712,-0.013166679173891414,0.01188201941334371,-0.08566171471187756,-0.196522623800673,0.004220478728923934,0.07079877,0.32827203,9.78395445,0.003665,0.002044,0.004436
