timestamp,time_rel,x,y,theta,vx,vy,bias_accel_x,bias_accel_y,bias_angular_velocity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
880260.202149,0.0,0.0,0.0,-0.7603811828292133,0.08176383012541082,-0.2219816349556281,0.0,0.0,0.005048931202082052,-9.41272443,0.4252635,-3.07535652,0.002747,-0.025133,0.003743
880260.242121,0.03997199994046241,-0.6738079320409659,-0.33803499465143866,-1.145644346250107,0.2302105392699295,-0.5757008615786365,-0.0002184879412494026,-0.000309527589009051,0.0041945397852789605,-9.358533990000002,0.30955455,-2.89617687,0.000973,-0.004891,0.002929
880260.262107,0.05995799996890128,-1.013146327161543,-0.518096506712045,-1.3773507617624545,0.12835260506069918,-0.9111878872132025,-0.00042828722599686127,-0.0004942760403893785,0.003696660934053472,-9.41871834,0.36823797,-2.8472249700000005,0.002,-0.004968,0.002434
880260.282092,0.07994299998972565,-1.2185440961023144,-0.6363414629441133,-1.5381047766763494,-0.018548339708749577,-1.2255638615412392,-0.0006679819642915351,-0.0007415196794072128,0.004341765440373457,-9.39012219,0.42317397,-2.8548669600000003,0.000555,0.007405,0.006018
880260.282092,0.07994299998972565,-1.3587067479213937,-0.6999760024211216,-1.6476478412137137,-0.12090188813934541,-1.271421020030288,-0.0006978191490986431,-0.0006955635966434821,0.004707101177866085,-9.39012219,0.42317397,-2.8548669600000003,0.000555,0.007405,0.006018
880260.322064,0.11991499993018806,-1.4628993035728066,-0.7955816509165814,-1.7379510421739168,-0.399208872661012,-1.6863053471102276,-0.0010253873088533962,-0.001632970653576494,0.004729805443085617,-9.446255010000002,0.36299943,-2.84198643,-0.000543,0.005311,0.004544
880260.362035,0.1598859999794513,-1.5527658282754206,-0.8929611074815604,-1.8191987593297467,-0.6937213488697527,-2.0754594065601015,-0.0015630770814930531,-0.0036567563980587745,0.004441351860979081,-9.370512000000002,0.40445649,-2.88644535,0.001947,-0.002293,0.002443
880260.382021,0.17987200000789016,-1.6247213469036237,-0.950354704549705,-1.884357168323542,-0.8917919798774696,-2.2680769245510812,-0.0020716893029914456,-0.004992398260397222,0.00485309965295091,-9.44132058,0.39548034,-2.8620478800000004,0.003913,0.005047,0.00692
880260.402007,0.19985800003632903,-1.688174896636995,-1.002930952604335,-1.936829461167446,-1.0917987616947802,-2.4336920884489364,-0.002593150294008825,-0.0061472727368098974,0.0048874495075853066,-9.36961929,0.32557428,-2.88405171,0.006806,-0.004004,0.004733
880260.402007,0.19985800003632903,-1.7261372667946915,-1.0076222488619266,-1.9740643496927692,-1.157994246657448,-2.4513612598316152,-0.002917241820460664,-0.006387562518022336,0.0048924334693673166,-9.36961929,0.32557428,-2.88405171,0.006806,-0.004004,0.004733
880260.441978,0.23982899996917695,-1.8001870316821742,-1.1038992956690725,-2.014425278568094,-1.494226742173318,-2.714618263468173,-0.003565291944653005,-0.008361447486465308,0.005063163912593375,-9.414823770000002,0.40296537,-2.8827077400000003,0.010974,-0.001809,0.005846
880260.461964,0.2598149999976158,-1.8517184114610326,-1.151376494673663,-2.048499130275533,-1.6767601021031797,-2.8514695898085978,-0.004179187941677228,-0.010085585606810494,0.004875297983198921,-9.36018207,0.33081282,-2.8957256100000004,-0.000742,0.000136,0.00281
