timestamp,time_rel,x,y,theta,vx,vy,bias_accel_x,bias_accel_y,bias_angular_velocity,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
880260.202149,0.0,0.0,0.0,-0.4563489963155747,0.11255789579993815,-0.1738059278411044,0.0,0.0,0.004313729203252917,-9.41272443,0.4252635,-3.07535652,0.002747,-0.025133,0.003743
880260.242121,0.03997199994046241,-0.6751725380624568,-0.3338852419332945,-0.7618764574515482,0.3424365703868307,-0.41749874535373055,-0.00015886648700753187,-0.0003401327946727317,0.003858939920840457,-9.358533990000002,0.30955455,-2.89617687,0.000973,-0.004891,0.002929
880260.262107,0.05995799996890128,-1.0112136574082446,-0.5089901296094945,-0.9808199540804519,0.3549512565515835,-0.6860399663565803,-0.0003356148634519091,-0.0005616699350652576,0.003506344609730579,-9.41871834,0.36823797,-2.8472249700000005,0.002,-0.004968,0.002434
880260.282092,0.07994299998972565,-1.2108731786647218,-0.6230021435465662,-1.1496605843175878,0.3292508286244917,-0.987280131300492,-0.0005804510829441401,-0.0008332436090845549,0.004209729689817081,-9.39012219,0.42317397,-2.8548669600000003,0.000555,0.007405,0.006018
880260.282092,0.07994299998972565,-1.3503745996492789,-0.6896874973999587,-1.280748178190288,0.26328579823353054,-1.0796456440035642,-0.0006974596245670513,-0.0008754830457335035,0.004613459675721602,-9.39012219,0.42317397,-2.8548669600000003,0.000555,0.007405,0.006018
880260.322064,0.11991499993018806,-1.4395345015307406,-0.7795927337780425,-1.3927883739912201,0.12751794627699609,-1.5585235101217418,-0.0010238272110714216,-0.0014384693483805368,0.00466639345933592,-9.446255010000002,0.36299943,-2.84198643,-0.000543,0.005311,0.004544
880260.362035,0.1598859999794513,-1.5098452788910908,-0.8747722009485529,-1.4934960164226232,-0.05321397337800734,-2.0234709022658914,-0.0015147675259520957,-0.002566496262702868,0.004413456852889577,-9.370512000000002,0.40445649,-2.88644535,0.001947,-0.002293,0.002443
880260.382021,0.17987200000789016,-1.5726601941361307,-0.9353126383604582,-1.5785939542218603,-0.21062995359151593,-2.2749670973911034,-0.001964510234695471,-0.003359149464022199,0.00481948003336319,-9.44132058,0.39548034,-2.8620478800000004,0.003913,0.005047,0.00692
880260.402007,0.19985800003632903,-1.62792242879165,-0.99172278792952,-1.650245259208542,-0.3887643422516619,-2.4958510975656023,-0.0023978704369115064,-0.004010397794937516,0.00486703558891796,-9.36961929,0.32557428,-2.88405171,0.006806,-0.004004,0.004733
880260.402007,0.19985800003632903,-1.6711141845405375,-0.9993710516889379,-1.705692068301382,-0.47877309585404504,-2.533988730612698,-0.002659902022474412,-0.004143331922652014,0.004884276624728952,-9.36961929,0.32557428,-2.88405171,0.006806,-0.004004,0.004733
880260.441978,0.23982899996917695,-1.7252187704088715,-1.1008911349950887,-1.7609324751080488,-0.7862414147922581,-2.8699790931106524,-0.0031657035388680307,-0.005102287362644886,0.005046670987219866,-9.414823770000002,0.40296537,-2.8827077400000003,0.010974,-0.001809,0.005846
880260.461964,0.2598149999976158,-1.7706411338355548,-1.1534112893526642,-1.8095585905807214,-0.9784308257222526,-3.042935127488091,-0.003669677075959185,-0.00601794241158457,0.004885197059129764,-9.36018207,0.33081282,-2.8957256100000004,-0.000742,0.000136,0.00281
880260.48195,0.2798010000260547,-1.815240057501275,-1.2053727749182501,-1.8528075124224461,-1.175051570425459,-3.201823355977068,-0.0041854720062849075,-0.00696315223474624,0.004893884788757402,-9.41407821,0.38560167,-2.86518708,0.003103,-0.001009,0.004369
880260.48195,0.2798010000260547,-1.8380091868115749,-1.19814500171844,-1.8866827472289853,-1.245661661358215,-3.219345738967359,-0.0045543465884272365,-0.007333896676412208,0.004881534482555529,-9.41407821,0.38560167,-2.86518708,0.003103,-0.001009,0.004369
880260.521921,0.3197719999589026,-1.9047633834950923,-1.3125318714378973,-1.9242700379471422,-1.578125996321299,-3.4835478610997623,-0.005141125211035362,-0.008753941337458222,0.0050364235328905745,-9.35659161,0.36374499,-2.90516283,-0.002382,0.001043,0.0059
880260.541907,0.33975799998734146,-1.9500247311448333,-1.3646807688411353,-1.9579485247593307,-1.7691675922087606,-3.616728046258869,-0.0057114067660557375,-0.010135251545855815,0.005104968623520128,-9.42754734,0.36688419,-2.8515708,0.009316,-0.002671,0.005078
880260.561893,0.35974400001578033,-1.9960286540315957,-1.4167874029645118,-1.9885146841971366,-1.9585737062169386,-3.7396914498187477,-0.006266529149945418,-0.011536096537739121,0.005138139035139128,-9.3730626,0.36164565,-2.8880934300000005,-0.001936,0.003472,0.004714
880260.581878,0.3797290000366047,-2.0427858422974055,-1.469008811997637,-2.0163543210915877,-2.145673942114594,-3.854495193957505,-0.006804227011971369,-0.01299477301698744,0.005204770781118898,-9.37156167,0.39952206,-2.88929025,0.004335,-0.003071,0.005172
880260.601864,0.39971499994862825,-2.0904168312556113,-1.5213877410489212,-2.0419867090175576,-2.330235118301682,-3.9634553352365227,-0.00731727286432479,-0.014527406892269184,0.005258546180495071,-9.4169133,0.38185425,-2.86803198,0.006505,0.00013,0.005059
