timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,gps_lat,gps_lon,gps_alt,gps_accuracy,gps_speed,gps_course,pressure,altitude,roll,pitch,yaw
839839.854179,-9.5378706,-0.03278502,-2.8322647200000004,0.005601,0.002889,0.006019,-105.522339,102.885696,-191.40654,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270636,0.013655,-0.803588
839839.914132,-9.465266790000001,-0.22108797000000002,-2.81145771,0.002921,-0.0034,0.003861,-105.585449,102.641495,-191.617676,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270552,0.013645,-0.803536
839839.934116,-9.42066072,-0.08562168,-2.8797156900000003,-0.004162,0.003292,0.00142,-105.787643,102.779861,-191.514877,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270621,0.013621,-0.803492
839839.954101,-9.3209715,-0.01466595,-3.0292495200000005,0.011582,-0.002312,0.008824,-105.500748,102.724686,-191.605133,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270615,0.01365,-0.803619
839839.974085,-9.446559120000002,-0.14773860000000003,-2.8367478900000003,0.003721,0.004535,0.004128,-105.500748,102.724686,-191.605133,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270607,0.013656,-0.803611
839840.014054,-9.31497759,-0.11840670000000002,-2.97536319,0.002734,-0.002646,0.004246,-105.675751,102.767075,-191.361206,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270546,0.013645,-0.803548
839840.014054,-9.31497759,-0.11840670000000002,-2.97536319,0.002734,-0.002646,0.004246,-105.675751,102.767075,-191.361206,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270546,0.013645,-0.803548
839840.054022,-9.453445740000001,-0.10687995,-2.8611453600000005,0.003573,0.003165,0.003826,-105.722,102.688309,-191.484665,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270642,0.013645,-0.803578
839840.054022,-9.453445740000001,-0.10687995,-2.8611453600000005,0.003573,0.003165,0.003826,-105.722,102.688309,-191.484665,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270642,0.013645,-0.803578
839840.074007,-9.33324381,-0.17858124000000003,-2.9476695600000005,0.00175,-0.000509,0.006816,-105.665771,102.768463,-191.797485,60.187681,24.830107,13.659874,19.032912,-1.0,-1.0,100.60955,-0.687,-1.270587,0.013637,-0.803566
