t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,-0.452873284332076,-0.306560355789255,-9.90323406956127,-0.00119026051884444,-0.000933421031745833,-0.000353205858162864,-1.44316234987304e-05,-0.00870822868053285,0.00251484521119171
0.01,-0.452885186937264,-0.306569689999572,-9.90323760161986,-0.000312280073694645,-0.000941249231566691,-0.000152911156540172,-1.30322660847065e-05,-0.0174072031436342,0.00501731143085197
0.02,-0.452885208126323,-0.30656074940162,-10.0711030886116,0.00158438208155107,0.00179827023936924,-0.00674547580513164,-0.00390122999784733,-0.0174182328036038,0.903406001304863
0.03,-0.452869364305507,-0.306542766699226,-10.0711705433696,0.00284129662519968,0.00302221313598737,-0.00684206856609912,-0.00388917663367848,-0.0158054647653622,0.904581799852907
0.04,-0.452841243415869,-0.30650649820807,-10.1595797345358,0.00404633909959381,0.00439244695052466,-0.0161244894674617,-0.00371998904902785,-0.0151488936595888,0.938687946839161
0.05,-0.452800780024873,-0.306462573738565,-10.1597409794304,0.00525722759722332,0.00526167575977931,-0.0161971815162787,-0.00371330140011,-0.0148926405492742,0.939067107376969
0.06,-0.452748802263715,-0.306406410299954,-9.93804321651495,0.00629931749108862,0.0063592811895276,0.0295337435523721,-0.00364430985481539,-0.0145773844035565,0.946764651419886
0.07,-0.452685809088804,-0.306342817488059,-9.93774787907943,0.00757907927036222,0.00737398087195343,0.0295204204517771,-0.00363831137763418,-0.014246806570342,0.946680063165436
0.08,-0.452610680659864,-0.306266564580997,-9.85797048960532,0.00872122494285626,0.00843263503087008,0.0558117126567637,-0.0036109493825917,-0.0139426019542249,0.948877845953968
0.09,-0.452523468410435,-0.306182238230688,-9.85741237247875,0.00981071628974809,0.00937092362186846,0.0557154831233027,-0.00361318010685853,-0.0136659912080599,0.94851086644266
0.1,-0.173586906391086,-0.241286030851876,-9.99775702590193,0.0221541771293469,0.0124033722365497,-0.0125568251997828,-0.00396750833748543,-0.0135425475131377,0.935717200401707
