t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,-0.140216556637982,-0.157528175280893,-9.73025888221827,-0.000371165144196458,-0.000654530564593781,0.000412486843388435,-0.000684847062416069,-0.00786472986143213,0.0024784182440297
0.01,-0.140220268289424,-0.157534720586539,-9.73025475734983,0.000424669135566213,-0.000659312184130707,0.000557808245008064,0.00732594104817415,-0.0287604510672138,0.00495252283256473
0.02,-0.140216021557224,-0.157541313707025,-9.72463578379448,0.00326290475826093,8.82516923752325e-05,0.000732196013213393,0.0172836481798568,-0.054014026158307,0.00629207724521254
0.03,-0.140183392509641,-0.157540431190101,-9.72462846183435,0.008438494045524,0.00181058410608043,0.000837076880447167,0.0205159089459896,-0.0749015690601188,0.00672749919958798
0.04,-0.140099008357424,-0.15752232553787,-9.72743221261455,0.0158290707435015,0.00386658405913594,0.000647407097320956,0.0217693100800609,-0.0827689515453444,0.00688520137882888
0.05,-0.139940717649989,-0.157483659697279,-9.72742573854358,0.0239001622304092,0.00613875035206581,0.000791706553905287,0.0234619274932216,-0.080103559810784,0.00698513069653578
0.06,-0.13989024887489,-0.157015674279358,-9.7945362121806,0.0218638765669214,0.0314787603970497,-0.012992303479714,0.00879462708879335,-0.0756032094519182,0.879269024284596
0.07,-0.139671610109221,-0.156700886675388,-9.7946661352154,0.0259927255847241,0.0377050179103306,-0.0129940458642189,0.0105924512385302,-0.0744978901517529,0.879058416558411
0.08,-0.13942306006631,-0.156296610231762,-9.82188937225397,0.0293645210291144,0.0446224787525092,-0.0217875358541573,0.0119580692525246,-0.0741838651092052,0.90091142779682
0.09,-0.139129414856019,-0.155850385444237,-9.82210724761251,0.0329259820545005,0.051066819664915,-0.0215184319561508,0.0134933373454996,-0.0736165364054177,0.90053606710284
0.1,0.251347957139846,-0.445299820353003,-9.86259329850869,0.051449026550163,0.046409128696342,-0.0409138183400839,0.0147539870947191,-0.0731161626262106,0.906053228030014
0.11,0.251862447405348,-0.44483572906604,-9.86300243669209,0.054839578952678,0.0526743481919744,-0.0406681596070172,0.0161350384816423,-0.0775347850793829,0.905552177456158
0.12,0.252412171936641,-0.444307135092038,-9.89778666875219,0.0584962109258481,0.0597480133957859,-0.0630284505486672,0.0176488488339864,-0.0783138863661129,0.901837687435843
0.13,0.2529971340459,-0.44370965495808,-9.89841695325768,0.0619728943689013,0.066710013931136,-0.0628834243325128,0.0188631248437278,-0.077595769929127,0.901394287078299
0.14,0.253625425892836,-0.443050318163829,-9.96511456794452,0.0654269307305338,0.0736814152056468,-0.118461774180437,0.0203812275026348,-0.0770832828407614,0.892549439505523
0.15,0.254279695200141,-0.442313504011773,-9.96629918568633,0.0684546984034866,0.0807982763401178,-0.118267508145509,0.0214475904391254,-0.076943551874844,0.892140571849233
0.16,0.254960206256443,-0.44149132724958,-9.90571527827042,0.0713669072859656,0.0882399313207198,-0.0538867735784689,0.0222510331625212,-0.0769337189562591,0.897325324818041
0.17,0.255673875329302,-0.440608927936373,-9.90625414600621,0.0744076955038774,0.0956321541533622,-0.053677466724481,0.0231890595406221,-0.0768150839604242,0.896952616622953
0.18,0.256356740527191,-0.439634941795566,-9.93364639603568,0.0763908298958435,0.10313835693584,-0.0867157633981099,0.0236502167136343,-0.0765758100648812,0.908055805495117
0.19,0.25712064882615,-0.438603558226207,-9.93451355366966,0.0792320103393927,0.110522119355577,-0.0866040084780597,0.0244782861858531,-0.0765116125666311,0.907732554001143
0.2,0.346781247899292,-0.0599087846566306,-9.93124067366422,0.0890180704207578,0.151858459631671,-0.0805662912566363,0.0257942095107519,-0.0769989453991158,0.915202410641244
0.21,0.3476714286035,-0.0583902000603139,-9.93204633657679,0.0917271141776677,0.159217660535752,-0.0805729313076906,0.0265261646683822,-0.0785030311208873,0.914891559018803
0.22,0.348594147559927,-0.0568004648847121,-9.91989818651135,0.0943627072497321,0.166864987865365,-0.0596108753020321,0.0270946892239631,-0.0788820184031065,0.91607462025193
0.23,0.349537774632424,-0.0551318150060584,-9.92049429526437,0.0969143298953602,0.17464293586745,-0.0593501830750925,0.0277361113700351,-0.078808598552101,0.915844989374243
0.24,0.350512203259103,-0.0533844860297306,-9.91357423876991,0.0995788270489179,0.18242348348744,-0.0458936282264864,0.0282770726956334,-0.0788971521245286,0.916340718622068
0.25,0.351507991529593,-0.0515602511948562,-9.91403317505217,0.102147893016523,0.190274693493651,-0.045671601915036,0.028847475232443,-0.0790332560873142,0.916156417411849
0.26,0.352524768731115,-0.0496504787877654,-9.91978309362013,0.104687534149285,0.198133787326989,-0.0554526341826487,0.0294715049564361,-0.0791598231514042,0.914892339205042
0.27,0.353571644072608,-0.0476691409144955,-9.92033761996196,0.107119859327569,0.206036664978256,-0.0552532735046949,0.0299585823869777,-0.0793264331648458,0.91474014697793
0.28,0.354667354899652,-0.0455358600753628,-9.90863027540287,0.109749241206582,0.214592284777031,-0.0301183800417201,0.0307616144226469,-0.0796139394849177,0.91205310176232
0.29,0.355764847311718,-0.0433899372275925,-9.90893145920329,0.112288014932669,0.222723353517953,-0.0300053744687249,0.0312067823215552,-0.0798079882277571,0.911935611998419
0.3,0.509837431045403,0.0948031166980453,-9.9337988444728,0.137428686442833,0.252849668490695,-0.0823121394761172,0.0324449718522212,-0.0810732365582225,0.906815499616366
0.31,0.511211717909831,0.0973316133829522,-9.93462196586756,0.139819735881072,0.261078811500194,-0.0821697112095529,0.0328328311171396,-0.0827879966442322,0.906664720011625
0.32,0.512587160945725,0.10008478306274,-9.9259934259443,0.141789006916891,0.270626885532443,-0.0608999958099348,0.0336799031214285,-0.083421721543683,0.904776698112559
0.33,0.514005051014894,0.102791051918064,-9.9266024259024,0.144353668783443,0.279075696234091,-0.0607296825893282,0.0340165498972469,-0.083543124138502,0.904699514013118
0.34,0.51538314245834,0.10541881354591,-9.95435664701504,0.146450081305131,0.286198784609627,-0.122298579755872,0.0340493104070358,-0.0834572308493231,0.905300966813219
0.35,0.516847643271391,0.108280801392007,-9.9555796328126,0.148982395907365,0.29481675552896,-0.122315471310961,0.034347558982359,-0.0837722192690845,0.905238528358526
0.36,0.518487795716776,0.111016101281624,-9.95056110065778,0.152518150912073,0.301943117265333,-0.107755105845619,0.033944101027805,-0.0841419047353733,0.907451159015951
0.37,0.520012977225897,0.114035532454277,-9.95163865171624,0.154926141843427,0.310519085485549,-0.107622367407841,0.0341986412959989,-0.0844366818843632,0.907395252464277
0.38,0.522001573008676,0.116854885392843,-9.91985152033484,0.160065748612905,0.31775313793597,-0.0303891843446928,0.033318382146152,-0.0851462973303007,0.910979236782839
0.39,0.523602230494805,0.120032416772203,-9.92015541217829,0.162531525891025,0.326367988358988,-0.0303318313220282,0.0335355907243785,-0.0854469363049305,0.910935597488791
0.4,0.0686312896206414,-0.0426035247176078,-9.94040132269648,0.0514440009617033,0.294760472738865,-0.0781346374185708,0.036952609058186,-0.0797595496055832,0.907140027519908
0.41,0.0691457296302584,-0.0396559199902192,-9.94118266907066,0.0534858665869588,0.303191026208678,-0.0781456381321525,0.0371575038394831,-0.0815367074776046,0.907055950497497
0.42,0.0694997845001406,-0.0373007391600529,-9.99534591575262,0.0547525589789559,0.307202101782916,-0.203846748435962,0.0365884433324065,-0.0812591944730988,0.907856270493474
0.43,0.0700473100899301,-0.0342287181422237,-9.99738438323698,0.0568297499009064,0.315705067519363,-0.203986016930392,0.0367419889567104,-0.081501077438834,0.907812729044445
0.44,0.0710336134021606,-0.0318831350303763,-10.0091822814669,0.0616290446530477,0.319694450563066,-0.226937705817122,0.0354556819940158,-0.0816301702926688,0.910081104250035
0.45,0.071649903848691,-0.0286861905247456,-10.0114516585251,0.063816219866785,0.328256014847205,-0.226907267936512,0.0356023676927535,-0.0820124737569151,0.91006363873485
0.46,0.0723129279875501,-0.0253632046595717,-10.0106409870834,0.0661896678527041,0.336936987236092,-0.21957419918159,0.035765160249117,-0.0824630249911508,0.910027813861816
0.47,0.0729748246660771,-0.0219938347872107,-10.0128367290752,0.0683911849669158,0.345647910897994,-0.219504885408988,0.0359026426754438,-0.082833484884777,0.910004685153453
0.48,0.0746766753704271,-0.0185220809857739,-9.96567225817127,0.0759431165688124,0.354899975793062,-0.10545668600939,0.0351597303173887,-0.0841785054038289,0.911593369000345
0.49,0.0754361065361153,-0.0149730812278433,-9.96672682503136,0.0782776636323683,0.363631714646781,-0.105348331215476,0.0352626273028644,-0.0845628258451572,0.911572178469014
0.5,0.206612822015163,-0.0159699407087707,-9.9541402010225,0.136087478803047,0.363161741268409,-0.0738914938323379,0.0303934096701401,-0.0871450747051381,0.915633854827745
0.51,0.207973696803194,-0.0123383232960866,-9.95487911596082,0.138833225149792,0.371732213483499,-0.0735950284132729,0.0304763380498009,-0.0889842613029682,0.915575247251465
0.52,0.20818374682676,-0.00772987355934655,-9.97394765997791,0.135296631303591,0.384562424794005,-0.114694295165886,0.0322567105143214,-0.089273457933766,0.913769897105179
0.53,0.209536713139796,-0.0038842493114065,-9.97509460292957,0.138067346709638,0.393501396562048,-0.114612330693983,0.0323414014169172,-0.0895822381859041,0.913757885547087
