t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,0.0932067366862521,0.454326315630148,-9.89677419748172,0.000233495239634183,0.00121767520521446,-9.9888439059842e-05,-0.00134436292304352,-0.00898619891142941,0.0024057209736428
0.01,0.0932090716386484,0.4543384923822,-9.89677519636611,0.001028576008401,0.000933357066043196,-3.61204240975887e-05,0.00600681571248163,-0.0310064627756138,0.0048518055038391
0.02,0.0932193557040439,0.454347825817802,-10.1108899670914,0.00406979888762077,0.00140166211974548,-0.00857236779048594,0.013269644227005,-0.0573971766001454,0.00962401892777003
0.03,0.0932600536929201,0.454361842438999,-10.1109756907693,0.00975742185403512,0.0028935471485281,-0.00845476541414882,0.0169284867685992,-0.0795113638683434,0.019266083330578
0.04,0.0933576766666951,0.454390786784465,-9.94870220129308,0.0175060719098928,0.00462248043704327,0.00929576260844177,0.0199173703336702,-0.0887252006953932,0.0366113313069295
0.05,0.0935327373857941,0.454437011588836,-9.948609243667,0.0261899124654723,0.00696654519636124,0.00963668060699843,0.0222036314787142,-0.0884358551522978,0.0616355813198997
0.06,0.0937945708057411,0.454506662642123,-9.97473531328966,0.0347648361023132,0.00952319928469419,0.00456299017925694,0.0226293209986892,-0.0873362211178163,0.0942252002718531
0.07,0.0941422191667643,0.45460189463497,-9.97468968338787,0.0431614906816121,0.0124666378994892,0.00500347325026198,0.0215402481899152,-0.0882446849032898,0.12913178531174
0.08,0.0945737155847171,0.454726531508491,-9.98563023838808,0.0513784071293816,0.0155239570078835,0.00172889356325433,0.0199392225919515,-0.0897385470633438,0.164038389647387
0.09,0.0950874996560109,0.45488177107857,-9.98561294945245,0.0599803610567734,0.0187543063816793,0.00192297954554747,0.0183456622993659,-0.0911739111872518,0.198944974687273
0.1,-0.822036891997362,-0.224912243470442,-9.99486586191786,0.0326490054667881,-0.00414626991551862,-0.00211899789222139,0.0164476288772963,-0.0918564438865268,0.233814763330582
0.11,-0.821710401942694,-0.224953706169597,-9.99488705189678,0.0411477606968503,-0.000469711964183645,-0.00190205903175819,0.0146783120856253,-0.0980355560437364,0.268721348370469
0.12,-0.821304005229711,-0.224959914584291,-10.0706596644121,0.0498751716987593,0.0035423645448746,-0.0512831337528539,0.0128915937220399,-0.100291810411559,0.303627375686479
0.13,-0.820805253512723,-0.224924490938842,-10.0711724957496,0.0588510771978101,0.00769246283665117,-0.0507648531528213,0.0114349222578668,-0.101015990013519,0.338533960726366
0.14,-0.820213538333655,-0.224846542077729,-10.0502052752328,0.0677630507735257,0.0120764165936705,-0.0322336037054873,0.00979045324982001,-0.101824592930647,0.373441014161142
0.15,-0.819535907825919,-0.224725777911792,-10.0505276112698,0.0767877037818069,0.0166066072182113,-0.0318205651354459,0.00807534276414875,-0.102623830757029,0.408074687207739
0.16,-0.818792869794597,-0.224568173092283,-10.1361186107147,0.0855493054475995,0.0213159781091577,-0.119999976049527,0.00651672135196857,-0.103116141894883,0.440245484111288
0.17,-0.817937376740121,-0.224355013311192,-10.1373186104752,0.094455537663496,0.0261707986491524,-0.119575228189259,0.00505063490539354,-0.103706389400606,0.469942088522554
0.18,-0.817026012627543,-0.224105279517227,-10.2028329414784,0.102701788754718,0.031070937206268,-0.198900385660029,0.00375825038462583,-0.104003214165473,0.497176303016248
0.19,-0.815998994739996,-0.223794570145164,-10.204821945335,0.111467079729639,0.0362755051144284,-0.198619936604137,0.00255927611801855,-0.10444539718054,0.522058943871865
0.2,-0.885239549119709,-0.522714406563374,-10.2324532362608,0.113584166605066,0.0146038321979483,-0.235013447770091,0.000907448651051194,-0.104078980907031,0.544518821838448
0.21,-0.884103707453659,-0.522568368241395,-10.2348033707385,0.122360050757893,0.019891385548844,-0.234660762857881,-4.12563229583219e-05,-0.105931345412207,0.564940065400745
0.22,-0.882928380434869,-0.522388703665203,-10.2810696153208,0.130422566538824,0.0252697019982791,-0.304950017550101,-0.00081012178918,-0.106300888896433,0.583328974092745
0.23,-0.881624154769481,-0.52213600664522,-10.2841191154963,0.139174272344856,0.0310673025520361,-0.304612839973132,-0.00150534691714655,-0.106496642745318,0.599825864801096
0.24,-0.880212618498042,-0.521817085099178,-10.2752499625601,0.148224595443743,0.0367357364988446,-0.282978003012017,-0.00214325145816677,-0.10687548316001,0.614605288772071
0.25,-0.878730372543604,-0.52144972773419,-10.2780797425902,0.156925558696142,0.0426575679288403,-0.282561688405846,-0.00267994591772584,-0.107224896667798,0.627769157036246
0.26,-0.876938991036985,-0.520926784334985,-10.1879033668269,0.1675738806995,0.0494430877618121,-0.103892620718113,-0.00336131025649946,-0.108354414798294,0.639480660835795
0.27,-0.87526325222999,-0.520432353457367,-10.1889422930341,0.176146733842433,0.0555828904107069,-0.103506881041571,-0.00375238751232827,-0.108653808225926,0.649838610487496
0.28,-0.873433792674057,-0.519845895722804,-10.169346711824,0.185410164317545,0.0620305669928474,-0.0609185550282874,-0.00412256612501204,-0.109157730715452,0.658994463337222
0.29,-0.871579691030882,-0.519225590052875,-10.1699558973742,0.194122274185017,0.0683910881913624,-0.060454152255822,-0.00439009463765288,-0.109457828856728,0.667052882864325
0.3,-0.507410642985915,-0.173203680402921,-10.1819208587625,0.245418044155169,0.164990679363671,-0.0834405694526762,-0.00993277716475481,-0.113099576846213,0.867926641074265
0.31,-0.504956462544363,-0.171553773609284,-10.182755264457,0.253405909173821,0.172863866168856,-0.0828801842666359,-0.0101383563487969,-0.11485792877835,0.874156835844139
0.32,-0.50257486760317,-0.16965285023542,-10.2089774587135,0.259909070284351,0.182452750637391,-0.138885307557267,-0.0106136126747767,-0.115167253048811,0.890336701532135
