t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,-0.361181039204429,-0.370548862308199,-9.82396171751906,-0.000872311499520594,-0.000922305687047003,0.000231414918424834,-0.0010116313123357,-0.00837660481840473,0.00241647388971507
0.01,-0.361189762319424,-0.37055808536507,-9.82395940336988,-4.98871575389094e-05,-0.00106164354377994,4.64191886040532e-05,0.0066633796282739,-0.0297830991345014,0.00485840120685617
0.02,-0.361190262550332,-0.37056870193411,-9.99871324640625,0.00283445271223779,-0.000447911276471982,-0.00708725855900286,0.0142617616769771,-0.0555663904831416,0.00961044861804527
0.03,-0.36116191802321,-0.370573181046875,-9.99878411899184,0.00834094206325789,0.00110204527987955,-0.0068982811874202,0.0154235739092505,-0.0770439743894374,0.0166019902304633
0.04,-0.361078483055548,-0.37056215538549,-9.91133518433624,0.0159949573846329,0.00281080610395242,0.00260083777128627,0.015534509389624,-0.0854994345607627,0.0254929636538046
0.05,-0.360918533481701,-0.370534047324451,-9.91130917595853,0.0242177678992389,0.00453021569273601,0.00308678431761501,0.0160309673402596,-0.0852229465005492,0.0356579573691716
0.06,-0.360676234528702,-0.370488719344098,-9.86146102581204,0.0326484785565191,0.00640241728924608,0.0137147376077974,0.0162708557444305,-0.0848737962365122,0.0465036456714866
0.07,-0.360349749743137,-0.370424695171205,-9.86132387843596,0.0406673556646623,0.00836345495617327,0.0141996179374716,0.0161246410588484,-0.0860777021605203,0.0576339893804886
0.08,-0.359944924264618,-0.370341465599927,-10.0375040819271,0.0491365438012007,0.0104514793759665,-0.0441748033720661,0.0158617282152758,-0.0874094981962436,0.0687446728732152
0.09,-0.359453558826606,-0.370236950806168,-10.0379458299609,0.0575499022203331,0.0126820763127954,-0.0439195828501226,0.0156576380847627,-0.0885693806966036,0.0796281509339272
0.1,-0.333994918136689,-0.648851639483191,-9.99405838399691,0.0669622912836954,0.00400397007471427,-0.0221841646705324,0.0153098675143517,-0.0896357596271952,0.0900914695328698
0.11,-0.333325295223852,-0.648811599782444,-9.99428022564362,0.0755180105231064,0.00646770275394555,-0.0219591937034163,0.0151152016378249,-0.095646965749447,0.0999942965400252
0.12,-0.332570355255701,-0.648746978586495,-9.99815595972199,0.0845140944441212,0.00894101392332978,-0.0239481911589088,0.0149264130954076,-0.0979398985512663,0.109406839526107
0.13,-0.331725214311259,-0.648657568447261,-9.99839544163357,0.0939320584985393,0.0114181380907533,-0.0237599771245326,0.0148210485557929,-0.0986026381860424,0.118186414959995
0.14,-0.330786649164366,-0.648543567283131,-10.0037789487807,0.103294879490708,0.0142021102463997,-0.0277237958726011,0.0146782096945789,-0.0994608755841706,0.126339513823504
0.15,-0.329753700369459,-0.648401546180667,-10.0040561867395,0.112810209388524,0.0168512749079887,-0.0272697635558557,0.0145224784580214,-0.100514167440255,0.133849208347042
0.16,-0.329683928136849,-0.644677674009312,-10.0072855035,0.103305179584448,0.0808991748209613,-0.0302879245692377,-0.00311973997089023,-0.101519924378205,0.823385415775801
0.17,-0.328650876341005,-0.643868682261102,-10.0075883827457,0.110286540901039,0.0878409845448604,-0.0300285821626738,-0.00325338833332782,-0.102325540097545,0.829679004652521
0.18,-0.327568861033378,-0.642924738184517,-10.0229645706834,0.117045129475711,0.096059695418314,-0.0483218444124379,-0.00369447837325641,-0.103103219939162,0.846370353074294
0.19,-0.326398409738621,-0.641964141230334,-10.0234477891275,0.124030329834196,0.103227106064375,-0.0479010233168177,-0.00373570860884075,-0.103850553715,0.851520960721441
0.2,0.299301208441816,-0.474656156946741,-10.0544220601635,0.186649072873456,0.126316523503326,-0.09090954632318,-0.00389274836573045,-0.106249755277967,0.861489249381314
