t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,0.257859373964118,0.127518498750967,-10.2063461439192,0.000842233594417071,0.000286267607041768,-0.0165450286938079,-0.00869378158394519,0.00870837336300974,0.00249975061819138
0.01,0.257867796300062,0.127521361427038,-10.2065115942061,-0.000135770262775984,-0.000705542762543983,-0.0398321314545253,-0.0173899364057308,0.0174108631730598,0.00492126147569222
0.02,0.257866435648224,0.127514302621245,-9.79593890864559,-0.00228395810310186,-0.00288463706446283,-0.0419444891824445,-0.0347375776258341,0.034854671950344,0.00963046139813248
0.03,0.257843596067193,0.1274854562506,-9.79635835353741,-0.00636017399945962,-0.00687588758342511,-0.060749199255062,-0.051892249230588,0.0524822326949819,0.0190336095078058
0.04,0.257779910843923,0.127416610454596,-9.48621357148676,-0.0122053033997076,-0.0130335672467494,-0.0456705989542969,-0.0599034416995858,0.0618498730581258,0.0360913578019626
0.05,0.257657857809926,0.127286274782128,-9.4866702774763,-0.0188802098759747,-0.0200601941482033,-0.0640110237985264,-0.0543706559037682,0.05861025220449,0.0604478384822475
0.06,0.25746945117822,0.127086082005632,-9.66171141101834,-0.0254645331241151,-0.0267409302977696,-0.118564215192063,-0.0421301676375339,0.0469830079549453,0.089566084070671
0.07,0.257214805846978,0.126818672702655,-9.66289705317026,-0.0303678215207297,-0.0323170097777964,-0.136973402921608,-0.0302243668312533,0.0354570574864273,0.121154840224432
0.08,0.25691079484483,0.12649515750157,-9.62855779531039,-0.034002742612491,-0.0363292780295199,-0.14359194495127,-0.0192992289616587,0.0274658419781197,0.153956840277566
0.09,0.256570767418705,0.126131864721275,-9.62999371475991,-0.0369576357918975,-0.0390049668720768,-0.161879150420731,-0.00920279991874618,0.0204514866402283,0.187154518270185
0.1,0.424896527927182,-0.217921736234155,-9.6213601265297,-0.0324273365412932,-0.0540265641937217,-0.175108390564275,-0.000294218651973016,0.0135446151387657,0.220066421970701
0.11,0.424572254561769,-0.218462001876092,-9.62311121043534,-0.0337401260139339,-0.054449670422143,-0.193393619829588,0.0083151814215933,-0.00179887462548675,0.25149191129368
0.12,0.424236491400774,-0.219004831142881,-9.65948339148979,-0.0336919858185092,-0.0533088825458916,-0.233654481259172,0.0086206602551301,-0.0169979939383425,0.282595957120025
0.13,0.423899571542589,-0.21953791996834,-9.66181993630238,-0.0321760612042229,-0.0517876316826731,-0.251129816362443,0.00929964627975642,-0.0231893239036771,0.312372563680785
0.14,0.423578969466222,-0.22005462666438,-9.67701304844764,-0.0299244310702362,-0.0498942455159955,-0.279129299874454,0.0164905999324875,-0.0264033565890039,0.340342525019902
0.15,0.42327972515552,-0.22055356911954,-9.67980434144638,-0.0277529864379543,-0.0471317834308878,-0.296165416466817,0.0235728159946788,-0.0296565182883238,0.366342641358206
0.16,0.423019710591837,-0.221007421103883,-9.79862533174268,-0.0251921985840282,-0.0430800550979695,-0.433648130493808,0.0293067019519447,-0.0330853274387547,0.390337645987496
0.17,0.422767788605997,-0.221438221654863,-9.80296181304761,-0.0230688895316982,-0.0384488409051673,-0.450602374447035,0.0343576993586295,-0.0362051936264451,0.412384967422698
0.18,0.422549342072419,-0.221810972278058,-9.86180904563269,-0.02071230985467,-0.0330889182222295,-0.534599126967043,0.0391063504423833,-0.0392231074592534,0.432531757247356
0.19,0.422342218973872,-0.22214186146028,-9.86715503690236,-0.0184757784290942,-0.027071087460182,-0.551224930855835,0.0434413399902079,-0.0419783196192017,0.450869203956937
0.2,0.298702716513357,-0.652649681814887,-9.95808027871771,-0.027493412514491,-0.0596361728875291,-0.689230673131595,0.0463914450579125,-0.0437329857414565,0.467611754865257
0.21,0.298427782388212,-0.653246043543762,-9.96497258544902,-0.0253276851493534,-0.0525991114102235,-0.705589605541562,0.048863742987688,-0.0466695648494186,0.48256596496592
0.22,0.298188310235576,-0.653761711731335,-10.01302524707,-0.0231701629432236,-0.0451177216152953,-0.787468374324391,0.0519557543453134,-0.0491632575028042,0.496038941285729
0.23,0.297956608606144,-0.654212888947488,-10.0208999308132,-0.020855280652971,-0.0372743929013061,-0.803530829664414,0.0550447372114791,-0.0513548145928962,0.508088024824098
0.24,0.297730572285057,-0.654595237443276,-9.98769299794757,-0.0190917160583381,-0.029128676064637,-0.746181462290687,0.057763945093928,-0.0533639049766204,0.518876555368708
0.25,0.297539655124474,-0.654886524203923,-9.99515481257048,-0.0169951009939998,-0.0204008506921377,-0.761593394983158,0.0601712125427911,-0.0553407656842998,0.528450899321715
0.26,0.29736574324948,-0.655091573434129,-9.99492150915401,-0.0150772109706183,-0.0113085488514001,-0.761822816727764,0.0623425390309648,-0.0571860800637166,0.53695313904024
0.27,0.297214971139774,-0.655204658922643,-10.0025397373213,-0.0131264260572263,-0.00184865917347708,-0.777134776534345,0.0642750520105113,-0.058969004798306,0.544491475548222
0.28,0.297082350235519,-0.655222946782559,-10.0079370721214,-0.0110485863388519,0.00783685609443408,-0.787518886212624,0.0660083688916879,-0.0606488291903489,0.551175825022151
0.29,0.29697186437213,-0.655144578221614,-10.0158122609836,-0.00909202446588512,0.0177872130275839,-0.802303023105972,0.067536522205565,-0.0622331680589611,0.557040454890723
0.3,0.372089930052725,-0.958830204577392,-10.0333904069265,0.00548648859128936,-0.022995712296326,-0.837761057810622,0.0664154600971094,-0.0628702242983066,0.562488313961713
0.31,0.372144794938638,-0.959060161700356,-10.0417680175046,0.0075034474771793,-0.0128689049490697,-0.852378353743797,0.0664558295656973,-0.0647323903601549,0.567003332230578
0.32,0.373800057600196,-0.966284766701145,-10.0498335305746,-0.0368604276737645,-0.0356786066713095,-0.866674518454854,0.0561781741156552,-0.0660039583954989,1.19067548258082
0.33,0.373431453323459,-0.966641552767858,-10.0585002757591,-0.0399713982204299,-0.0263556509587947,-0.881071651112546,0.0571075773076781,-0.067164325258936,1.19420623049315
0.34,0.3730454141551,-0.966945020851483,-10.0930950308477,-0.0432792552493529,-0.0169216598215449,-0.95644652384399,0.0669834531311614,-0.07669846936046,1.19423346268747
0.35,0.372612621602607,-0.967114237449698,-10.1026594960862,-0.0471828625677803,-0.00604161464093789,-0.970069703500251,0.0770901857919672,-0.0860562749674189,1.19366474829216
0.36,0.372370496859432,-0.967617316570975,-10.114042650008,-0.0507640664257895,0.00341479069112145,-0.987956376726846,0.0777295302519733,-0.0867758593880864,1.2016589340018
0.37,0.371862856195174,-0.967583168664064,-10.1239222137753,-0.0554551632374519,0.0158186752278256,-1.00155016713698,0.0764467228420337,-0.0863262819128984,1.20273371063126
0.38,0.371197941065304,-0.967210529494303,-10.1344030682284,-0.060416176734785,0.0291570807751634,-1.01613486752033,0.0759462997316928,-0.0862206084050773,1.20055719000593
0.39,0.370593779297956,-0.966918958686552,-10.1445644169036,-0.0649448284854185,0.0413374950995436,-1.03070653622369,0.084459328790465,-0.0926214330790497,1.19931420161114
0.4,0.623118683069887,-0.622516957215279,-10.1341332084373,-0.00466905210088431,0.148850538447987,-0.993914427117531,0.095617321980042,-0.103512076275114,1.1987323575085
0.41,0.623071992548879,-0.621028451830799,-10.1440723527085,-0.0104735523014603,0.163357928129503,-1.00674448866933,0.0962034862529354,-0.103619262580942,1.19919947594052
0.42,0.622627872084723,-0.619053163926659,-10.190089690405,-0.0181457881506799,0.179964750584996,-1.10418231768038,0.0941215575429856,-0.102761533883823,1.1962665371502
0.43,0.622446414203217,-0.617253516420809,-10.2011315135818,-0.0237625121009623,0.194646637575233,-1.11682150462694,0.0919066734891835,-0.10216600006343,1.19734373969685
0.44,0.622206497244141,-0.615440134045725,-10.2280928444365,-0.0292252127369632,0.208427113522806,-1.16783049624715,0.0990802256642914,-0.108941369061977,1.19543835721163
0.45,0.621914245116771,-0.613355862910496,-10.239771149399,-0.0352069002278826,0.223927572599743,-1.17993787403085,0.106870335585357,-0.1148581028125,1.19377428592615
0.46,0.622277529158413,-0.611878765306374,-10.2233073214229,-0.0378211268465036,0.236534830155674,-1.12643735624234,0.105180268898674,-0.114312494704385,1.196998881264
0.47,0.621899317889948,-0.609513417004817,-10.2345716949853,-0.0441524279842639,0.252556042223886,-1.13850666250753,0.101663310726835,-0.112744819602345,1.19757979265994
0.48,0.620405932703019,-0.605324937314058,-10.2418854830994,-0.0554780079833889,0.275991494190033,-1.14071944074871,0.100652304136794,-0.111525487086276,1.19325613230335
0.49,0.619851152623185,-0.602565022372157,-10.2532926775069,-0.0614768356365668,0.291889940427769,-1.15394166773793,0.107348616852529,-0.118478105952482,1.19107593134851
0.5,0.822898084726402,-0.387912552225856,-10.2494680123439,0.0084849127349907,0.396528031752208,-1.12875439334978,0.115778180001689,-0.132817051959413,1.18913983107779
0.51,0.822982933853752,-0.383947271908334,-10.2607555562774,0.00196340397478351,0.415065966225198,-1.14009577448459,0.11470462426648,-0.132019918089396,1.18916647606603
0.52,0.818745227343914,-0.373492102536274,-10.2585623223417,-0.0277519952409097,0.462322727148005,-1.11931350974875,0.117467961640583,-0.130026024522651,1.17894849092637
0.53,0.818467707391504,-0.368868875264794,-10.2697554574392,-0.0343846079772593,0.480312415039366,-1.13035317130274,0.113882827062359,-0.128150655591755,1.18002180739648
0.54,0.818182945055141,-0.362946642989458,-10.2358955377095,-0.0412679121761081,0.503672323712784,-1.04290254069396,0.12066402077322,-0.135582115021267,1.1778827087052
0.55,0.81777026593338,-0.35790991975233,-10.2463245631164,-0.0480965524104537,0.522406652396116,-1.05336562245,0.12734016753676,-0.142717763592255,1.17599718817601
0.56,0.819104383281412,-0.354303301862282,-10.232674164138,-0.0466777890321117,0.536021922299913,-1.01161240159875,0.123822245256439,-0.141994257035443,1.1786871344929
0.57,0.818637605391091,-0.348943082639283,-10.242790288154,-0.0534028080203857,0.555590725498548,-1.02205414928646,0.119342376568993,-0.139150928288806,1.17971695020713
0.58,0.820676713445744,-0.345899974402321,-10.2315400007091,-0.0483920455641075,0.565496697174669,-0.988436875087969,0.11877139025844,-0.14318240601135,1.18101776795533
0.59,0.820192792990103,-0.340245007430574,-10.24142436946,-0.0546045312047334,0.584965194667927,-0.998631589677132,0.117924271206387,-0.145131105512427,1.18003678181648
0.6,1.29103782109772,-0.420175870278272,-10.2351942870926,0.182151865309481,0.591632452747951,-0.974353608404748,0.104493286695666,-0.153989825048479,1.17649929598117
0.61,1.29285933975081,-0.414259545750792,-10.2449378231767,0.177874410330872,0.61174732295265,-0.984627501407466,0.0999758386998284,-0.151525499582541,1.1774401588365
0.62,1.29909972404758,-0.413445650076616,-10.2475860790566,0.195083726691683,0.611239985409308,-0.982489240207223,0.0991269830594584,-0.156362224010487,1.18042438254251
0.63,1.3010505613145,-0.407333250222523,-10.2574109714586,0.191335415881415,0.631201705475323,-0.992339003940513,0.102024458329243,-0.160039554339777,1.17931702327995
0.64,1.30378560058828,-0.404680311131138,-10.3116484211647,0.192680138805106,0.637140363576582,-1.09274331501392,0.0966399988891536,-0.156528739492275,1.18072648319792
0.65,1.30571240197633,-0.398308907495373,-10.3225758543148,0.189050629253571,0.656947302472674,-1.10265379683191,0.0926582145849961,-0.153380887768306,1.18181874385953
0.66,1.31091712372013,-0.39073767578116,-10.2616459311594,0.197624689764353,0.681826273464052,-0.970827479400728,0.096326709797343,-0.159490309307301,1.18274411733686
0.67,1.31289337061777,-0.38391941304652,-10.2713542059535,0.194333329547628,0.701931579202467,-0.980236604822552,0.100319032600645,-0.162747722143517,1.18193354834587
0.68,1.31240084598875,-0.370927019582684,-10.2442684933049,0.179247741999464,0.743178777037729,-0.916612730941531,0.0999994918741224,-0.161286128307326,1.18074503704227
0.69,1.31419332340874,-0.363495231812306,-10.2534346206143,0.175527284162521,0.763563804421154,-0.925915415291553,0.0957124302989595,-0.158027702620848,1.18201776502163
0.7,1.39342071644192,-0.41411321099221,-10.2813977806363,0.25206429585483,0.720822711985942,-0.975438325434467,0.0898161651179622,-0.162115019814476,1.18538903857815
0.71,1.39594135940047,-0.406904983872351,-10.2911521638907,0.249475165166623,0.740621500728602,-0.984610675029172,0.093114882381013,-0.164953618828268,1.18473276933636
0.72,1.39521998139377,-0.394304685029793,-10.285938215143,0.232633217036399,0.778897199183861,-0.964354959357501,0.0925286798737977,-0.162834592210108,1.18325249304765
0.73,1.39754631356413,-0.386515713037955,-10.2955817647366,0.229858544005717,0.798756830509399,-0.973442039794016,0.0881569946828362,-0.159524432236214,1.18457391152205
0.74,1.39896168102616,-0.368573069205544,-10.2268100299743,0.219371903884288,0.853995348576603,-0.837755966386734,0.0958852095976392,-0.16630668349618,1.18246407106129
0.75,1.401155400065,-0.360033115719778,-10.2351875896382,0.216392954585191,0.874603765109161,-0.846543650141644,0.0992690930853221,-0.168764473490474,1.18190903557143
0.76,1.40178244777936,-0.350839223774985,-10.2532186955636,0.207855304581572,0.896360413565173,-0.872585548633025,0.0962273441348909,-0.165622876934086,1.1818885283778
0.77,1.40386100082517,-0.341875619639333,-10.2619445510499,0.204835247732275,0.916690532306364,-0.881377876652043,0.0918061230502534,-0.162277879440929,1.1832464875541
