t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,-1.04930619220554,0.0583432992048214,-10.4732297931824,-0.00262828589986997,0.000150206273353756,-0.00328317350845935,0.000380744438881511,-0.00838677930478999,0.00254984208403241
0.01,-1.04933247506454,0.058344801267555,-10.4732626249174,-0.00187684524235107,0.000199276256847943,-0.00295552851299831,-0.00795331249722097,-0.0298081878974695,0.00509467743254508
0.02,-1.04935124047576,0.0583467936042791,-10.0769916411526,0.00102580671607112,-0.000513503872245515,0.0124113019276997,-0.0162297256921369,-0.0556161302138533,0.0053746464138687
0.03,-1.04934098240859,0.0583416585655566,-10.0768675281333,0.00665769345497066,-0.0020368062279502,0.0123313517337855,-0.0176224285877151,-0.0771084540014094,0.000766376285948047
0.04,-1.04927442467156,0.058321294836638,-10.142085160592,0.0142912282468451,-0.00376402117191528,0.00506462155791495,-0.0182799184519017,-0.0857144301337001,-0.0115550087972569
0.05,-1.04913151238909,0.0582836546249189,-10.1420345143764,0.0228218578333473,-0.00559100426873007,0.00526248723658629,-0.0176166910644649,-0.0900952910573046,-0.0315130891614549
0.06,-1.0489027439352,0.058227621919666,-9.91999034005113,0.0316590152600084,-0.00749263556958022,0.0511705476450878,-0.0142781666167488,-0.0941894850991637,-0.0590117798034906
0.07,-1.0485861537826,0.0581526955639702,-9.91947863457468,0.04066459076532,-0.00965520406790523,0.05133949448299,-0.00913239832862456,-0.0981573419912367,-0.0939183648433772
0.08,-1.04817969997976,0.0580561850671516,-9.93658420929689,0.0502552154915016,-0.0114392587636927,0.0456580437741204,-0.00285564103065658,-0.102100236676524,-0.128824990020213
0.09,-1.04767714782484,0.0579417924795147,-9.93612762885915,0.0601314455967487,-0.0128715060542502,0.0458068018210445,0.00442435063515018,-0.105811763289648,-0.1637315750601
0.1,-0.756028305393595,-0.291299656754836,-10.0899234161009,0.081646262359233,-0.0278396625130191,-0.0286677301447532,0.0124852640466979,-0.109154541571588,-0.198661017068634
0.11,-0.755211842770002,-0.291578053379966,-10.0902100934023,0.0925814228512138,-0.0286490758491432,-0.0287236603453147,0.021650961085183,-0.117075410160384,-0.23356760210852
0.12,-0.754283502880964,-0.291865018015653,-10.0552579941417,0.10459941741541,-0.0292457049970712,-0.00556496308986203,0.0316822832180321,-0.120899130992836,-0.268475197667917
0.13,-0.75323750870681,-0.292157475065624,-10.0553136437726,0.116698333988515,-0.0295261752321959,-0.0053428661095934,0.041492597335774,-0.121842096555038,-0.303381782707804
