t,ex,ey,ez,evx,evy,evz,roll,pitch,yaw
0,-0.871284844143464,0.23057953670595,-10.3382952649636,-0.00219057692103791,0.000346171006722605,-0.00270258763582159,-0.000645444414214324,-0.0080232059781107,0.00246578383247251
0.01,-0.871306749912674,0.230582998416017,-10.33832229084,-0.00141548555150867,0.000303528962328969,-0.00268039033762868,0.00740179442401951,-0.0263399065636429,0.00492175844628609
0.02,-0.871320904224858,0.230586033731267,-10.260993031076,0.00114783687836904,0.000910326766157156,2.295796092887e-05,0.0153897797283751,-0.0462865406032089,0.00973734969162423
0.03,-0.871309425856074,0.230595136998929,-10.2609928014964,0.00555658293153138,0.00256848963358129,-8.62150917310422e-05,0.018091674348702,-0.0592013962834563,0.0195109820407572
0.04,-0.871253885464185,0.230620815627113,-10.3651277555394,0.0114016637200097,0.00448988552916399,-0.0113709093562333,0.0197012541966738,-0.0595214169749895,0.0341436394877304
0.05,-0.871139868826985,0.230665714482405,-10.3652414646329,0.0171762257131166,0.00678706199783344,-0.0112071304020286,0.0212151813180081,-0.0558869778047664,0.0521219336848928
0.06,-0.870967728308949,0.230733700786241,-10.1652993647361,0.0225626839124328,0.00939618295051529,0.0297958755020952,0.0219378645297662,-0.0569075152616241,0.0721816402153196
0.07,-0.870742101469825,0.230827662615746,-10.1650014059811,0.0277967214977428,0.0118851286069468,0.0296242014167757,0.0222290749841946,-0.059098632715379,0.0933773459145606
0.08,-0.870463505959015,0.230946734247177,-10.0840395633275,0.0332157613366304,0.014581278526258,0.0563418304957484,0.0226102305217165,-0.0609196656480676,0.115036405120486
0.09,-0.870131348345649,0.231092547032439,-10.0834761450226,0.0388911323513563,0.0174319250472721,0.0562185255260841,0.0229830534358618,-0.0624618963299519,0.136627019549943
0.1,-0.751195656395449,0.470348941102288,-10.1118567560382,0.0492687554775994,0.0298407203248323,0.0421053782534046,0.0233759091343197,-0.0639915592536916,0.157714545854134
0.11,-0.750702968840673,0.470647348305537,-10.1114357022557,0.0551875553584379,0.0332620121517912,0.0416336657972069,0.0235375344219714,-0.0711683715586194,0.17785562006417
0.12,-0.75015036323775,0.470980266808439,-10.095464934116,0.0616499923082465,0.0367127220370745,0.0515511547122537,0.0237134484889323,-0.0753519745580062,0.197063745673759
0.13,-0.749533863314668,0.47134739402881,-10.0949494225689,0.0685055260218917,0.0404415256398447,0.0511675862576118,0.0240238762124899,-0.0764682819294077,0.215198306653609
0.14,-0.748856856969229,0.471748346511767,-10.1713831925161,0.0751933059605017,0.0445001205491419,-0.0139445696080467,0.0242154938113554,-0.0773336013474189,0.232123527786947
0.15,-0.748104923909624,0.472193347717259,-10.1715226382122,0.0820217055195728,0.0483513001315277,-0.0141757616597393,0.0242906176799424,-0.0785827791276314,0.247784788864636
0.16,-0.747288097714618,0.47267533524891,-10.1881646538816,0.0889048483669186,0.0526646813412742,-0.0315198160251787,0.0243346830916369,-0.0797959940974701,0.262203707245656
0.17,-0.746399049230949,0.473201982062323,-10.1884798520418,0.0960178793179751,0.0572280091409243,-0.0316676119745697,0.0244385830438491,-0.0809267612860595,0.275394084063912
0.18,-0.745425365630444,0.473780585151558,-10.1519867265832,0.103012360886863,0.0618248501156735,0.0135869069022984,0.0245667237704456,-0.0820827322284259,0.287424997582617
0.19,-0.744395242021575,0.474398833652715,-10.1518508575142,0.11006914687754,0.0665620440703946,0.0132259356475858,0.0246808474275385,-0.0830797479537488,0.298319641245211
0.2,-0.9464156525686,0.939460078148345,-10.1312286433012,0.0989624758340707,0.11298689716241,0.0421941978170071,0.0262055144751608,-0.0839758525813797,0.308356212388039
0.21,-0.945426027810259,0.940589947119969,-10.130806701323,0.106105306114715,0.117981668116275,0.0417894673075915,0.0263330501687432,-0.0866039024281715,0.317159534008036
0.22,-0.944299070881584,0.941802864161603,-10.0475281335582,0.114125768274889,0.123492290671248,0.174663940956891,0.026529356376143,-0.0881743454110003,0.325043684048194
0.23,-0.943157813198835,0.943037787068315,-10.0457814941487,0.121473229834222,0.12885320574869,0.174325695576136,0.026698889622816,-0.0888953431051152,0.332102773254084
0.24,-0.946072662326557,0.951443508061801,-9.98144294896696,0.0712437130481763,0.21964311582364,0.284314926176391,0.00741823908111353,-0.0900246699465779,1.20012541930938
0.25,-0.945360225196076,0.953639939220038,-9.97859979970519,0.0737622882520895,0.228343808259631,0.283927985599008,0.0075864647249661,-0.0907393622015958,1.20570887016636
0.26,-0.944725971602177,0.956079585902463,-9.98652648887789,0.0749853438409598,0.238588374500078,0.26313152893444,0.00721079601654707,-0.0914291438588569,1.22921764608198
